t_out,v_out,t_in,v_in
0.000163,-0.168,0.000163,0.96
0.000163,-0.152,0.000163,0.96
0.000163,-0.152,0.000163,0.96
0.000163,-0.16,0.000163,0.92
0.000163,-0.16,0.000163,0.96
0.000163,-0.152,0.000163,0.96
0.000163,-0.16,0.000163,1.0
0.000163,-0.152,0.000163,0.96
0.000164,-0.136,0.000164,0.92
0.000164,-0.144,0.000164,0.96
0.000164,-0.144,0.000164,0.96
0.000164,-0.144,0.000164,0.92
0.000164,-0.136,0.000164,0.96
0.000164,-0.136,0.000164,0.96
0.000164,-0.136,0.000164,0.96
0.000164,-0.136,0.000164,0.96
0.000164,-0.136,0.000164,0.92
0.000164,-0.128,0.000164,0.96
0.000165,-0.136,0.000165,0.96
0.000165,-0.12,0.000165,0.96
0.000165,-0.128,0.000165,0.96
0.000165,-0.12,0.000165,0.92
0.000165,-0.128,0.000165,0.96
0.000165,-0.12,0.000165,0.96
0.000165,-0.12,0.000165,0.96
0.000165,-0.112,0.000165,0.96
0.000165,-0.112,0.000165,0.96
0.000165,-0.104,0.000165,1.0
0.000166,-0.112,0.000166,0.96
0.000166,-0.104,0.000166,0.96
0.000166,-0.104,0.000166,1.0
0.000166,-0.104,0.000166,1.0
0.000166,-0.096,0.000166,0.96
0.000166,-0.104,0.000166,0.92
0.000166,-0.096,0.000166,0.96
0.000166,-0.096,0.000166,0.96
0.000166,-0.088,0.000166,0.96
0.000166,-0.088,0.000166,0.96
0.000167,-0.08,0.000167,0.96
0.000167,-0.088,0.000167,0.96
0.000167,-0.08,0.000167,0.96
0.000167,-0.08,0.000167,1.0
0.000167,-0.08,0.000167,0.96
0.000167,-0.08,0.000167,0.96
0.000167,-0.072,0.000167,0.96
0.000167,-0.08,0.000167,0.96
0.000167,-0.072,0.000167,0.96
0.000168,-0.08,0.000168,0.96
0.000168,-0.072,0.000168,0.96
0.000168,-0.072,0.000168,0.92
0.000168,-0.064,0.000168,0.96
0.000168,-0.064,0.000168,0.96
0.000168,-0.056,0.000168,0.92
0.000168,-0.064,0.000168,0.96
0.000168,-0.056,0.000168,0.92
0.000168,-0.056,0.000168,0.96
0.000168,-0.056,0.000168,1.0
0.000169,-0.048,0.000169,1.0
0.000169,-0.056,0.000169,1.0
0.000169,-0.056,0.000169,0.96
0.000169,-0.048,0.000169,0.96
0.000169,-0.04,0.000169,0.96
0.000169,-0.048,0.000169,0.92
0.000169,-0.048,0.000169,0.92
0.000169,-0.048,0.000169,0.92
0.000169,-0.048,0.000169,0.96
0.000169,-0.04,0.000169,0.96
0.000169,-0.04,0.000169,0.96
0.00017,-0.032,0.00017,1.0
0.00017,-0.024,0.00017,0.96
0.00017,-0.032,0.00017,0.96
0.00017,-0.032,0.00017,0.96
0.00017,-0.024,0.00017,0.96
0.00017,-0.032,0.00017,0.92
0.00017,-0.016,0.00017,1.0
0.00017,-0.016,0.00017,0.96
0.00017,-0.016,0.00017,0.96
0.00017,-0.008,0.00017,0.96
0.000171,-0.024,0.000171,0.92
0.000171,-0.016,0.000171,0.96
0.000171,-0.024,0.000171,0.96
0.000171,-0.024,0.000171,0.92
0.000171,-0.024,0.000171,0.92
0.000171,-0.008,0.000171,0.96
0.000171,-0.008,0.000171,0.92
0.000171,0.0,0.000171,0.96
0.000171,-0.008,0.000171,0.96
0.000171,-0.008,0.000171,0.96
0.000172,-0.008,0.000172,0.96
0.000172,0.0,0.000172,0.96
0.000172,0.0,0.000172,1.0
0.000172,0.008,0.000172,0.96
0.000172,0.016,0.000172,1.0
0.000172,0.016,0.000172,0.96
0.000172,0.008,0.000172,0.96
0.000172,0.008,0.000172,1.0
0.000172,0.016,0.000172,0.96
0.000172,0.008,0.000172,0.96
0.000173,0.016,0.000173,1.0
0.000173,0.008,0.000173,1.0
0.000173,0.016,0.000173,0.96
0.000173,0.024,0.000173,0.96
0.000173,0.024,0.000173,0.96
0.000173,0.024,0.000173,1.0
0.000173,0.024,0.000173,0.96
0.000173,0.024,0.000173,0.96
0.000173,0.032,0.000173,0.96
0.000173,0.024,0.000173,0.96
0.000174,0.032,0.000174,0.96
0.000174,0.04,0.000174,1.0
0.000174,0.04,0.000174,0.92
0.000174,0.04,0.000174,0.96
0.000174,0.04,0.000174,0.96
0.000174,0.032,0.000174,1.0
0.000174,0.032,0.000174,1.0
0.000174,0.032,0.000174,1.0
0.000174,0.048,0.000174,1.0
0.000174,0.048,0.000174,1.0
0.000175,0.048,0.000175,0.96
0.000175,0.048,0.000175,1.0
0.000175,0.056,0.000175,0.96
0.000175,0.048,0.000175,0.96
0.000175,0.04,0.000175,1.0
0.000175,0.064,0.000175,1.0
0.000175,0.056,0.000175,0.96
0.000175,0.056,0.000175,1.0
0.000175,0.048,0.000175,0.96
0.000175,0.064,0.000175,1.0
0.000176,0.064,0.000176,0.96
0.000176,0.064,0.000176,1.0
0.000176,0.072,0.000176,0.96
0.000176,0.064,0.000176,0.96
0.000176,0.064,0.000176,0.96
0.000176,0.072,0.000176,1.0
0.000176,0.072,0.000176,0.96
0.000176,0.08,0.000176,1.0
0.000176,0.08,0.000176,0.96
0.000176,0.08,0.000176,0.96
0.000177,0.08,0.000177,1.0
0.000177,0.08,0.000177,1.0
0.000177,0.08,0.000177,0.96
0.000177,0.088,0.000177,1.0
0.000177,0.088,0.000177,0.96
0.000177,0.088,0.000177,0.96
0.000177,0.08,0.000177,1.0
0.000177,0.08,0.000177,1.0
0.000177,0.088,0.000177,0.96
0.000178,0.088,0.000178,1.0
0.000178,0.088,0.000178,0.96
0.000178,0.104,0.000178,0.96
0.000178,0.096,0.000178,0.96
0.000178,0.096,0.000178,0.92
0.000178,0.096,0.000178,1.0
0.000178,0.096,0.000178,0.96
0.000178,0.104,0.000178,1.0
0.000178,0.104,0.000178,1.0
0.000178,0.104,0.000178,1.0
0.000179,0.104,0.000179,0.96
0.000179,0.104,0.000179,1.0
0.000179,0.104,0.000179,0.96
0.000179,0.112,0.000179,1.0
0.000179,0.112,0.000179,1.0
0.000179,0.12,0.000179,0.96
0.000179,0.112,0.000179,0.96
0.000179,0.112,0.000179,0.96
0.000179,0.12,0.000179,0.96
0.000179,0.128,0.000179,0.96
0.000179,0.128,0.000179,1.04
0.00018,0.12,0.00018,0.96
0.00018,0.128,0.00018,0.96
0.00018,0.128,0.00018,1.0
0.00018,0.128,0.00018,0.96
0.00018,0.128,0.00018,1.0
0.00018,0.136,0.00018,1.0
0.00018,0.136,0.00018,1.0
0.00018,0.136,0.00018,0.96
0.00018,0.136,0.00018,1.0
0.00018,0.128,0.00018,0.96
0.000181,0.136,0.000181,0.96
0.000181,0.136,0.000181,1.0
0.000181,0.128,0.000181,0.96
0.000181,0.136,0.000181,0.96
0.000181,0.144,0.000181,0.92
0.000181,0.144,0.000181,0.96
0.000181,0.144,0.000181,0.96
0.000181,0.16,0.000181,0.96
0.000181,0.144,0.000181,1.0
0.000181,0.152,0.000181,0.92
0.000182,0.16,0.000182,0.96
0.000182,0.16,0.000182,1.0
0.000182,0.152,0.000182,0.96
0.000182,0.16,0.000182,0.96
0.000182,0.16,0.000182,0.92
0.000182,0.16,0.000182,1.0
0.000182,0.16,0.000182,0.96
0.000182,0.16,0.000182,0.96
0.000182,0.16,0.000182,1.0
0.000182,0.16,0.000182,0.96
0.000183,0.16,0.000183,0.96
0.000183,0.168,0.000183,1.0
0.000183,0.176,0.000183,0.92
0.000183,0.176,0.000183,1.0
0.000183,0.168,0.000183,0.96
0.000183,0.168,0.000183,1.0
0.000183,0.176,0.000183,0.96
0.000183,0.176,0.000183,1.0
0.000183,0.168,0.000183,0.96
0.000183,0.184,0.000183,1.0
0.000184,0.176,0.000184,1.0
0.000184,0.184,0.000184,0.96
0.000184,0.184,0.000184,0.96
0.000184,0.184,0.000184,0.96
0.000184,0.176,0.000184,1.0
0.000184,0.184,0.000184,1.0
0.000184,0.184,0.000184,1.0
0.000184,0.192,0.000184,0.96
0.000184,0.184,0.000184,1.0
0.000184,0.192,0.000184,0.96
0.000185,0.192,0.000185,0.96
0.000185,0.2,0.000185,0.96
0.000185,0.192,0.000185,0.96
0.000185,0.192,0.000185,1.0
0.000185,0.184,0.000185,0.96
0.000185,0.2,0.000185,1.0
0.000185,0.2,0.000185,0.96
0.000185,0.216,0.000185,0.92
0.000185,0.208,0.000185,1.0
0.000185,0.216,0.000185,0.96
0.000186,0.208,0.000186,0.96
0.000186,0.216,0.000186,0.96
0.000186,0.208,0.000186,0.96
0.000186,0.2,0.000186,0.96
0.000186,0.208,0.000186,1.0
0.000186,0.216,0.000186,0.96
0.000186,0.216,0.000186,0.92
0.000186,0.224,0.000186,0.96
0.000186,0.216,0.000186,0.96
0.000186,0.216,0.000186,0.96
0.000187,0.208,0.000187,1.0
0.000187,0.232,0.000187,0.92
0.000187,0.216,0.000187,1.0
0.000187,0.224,0.000187,0.96
0.000187,0.224,0.000187,0.92
0.000187,0.232,0.000187,-1.04
0.000187,0.24,0.000187,-1.04
0.000187,0.216,0.000187,-1.04
0.000187,0.216,0.000187,-1.04
0.000188,0.216,0.000188,-1.04
0.000188,0.216,0.000188,-1.0
0.000188,0.208,0.000188,-1.08
0.000188,0.208,0.000188,-1.04
0.000188,0.208,0.000188,-1.12
0.000188,0.208,0.000188,-1.08
0.000188,0.2,0.000188,-1.04
0.000188,0.184,0.000188,-1.04
0.000188,0.2,0.000188,-1.08
0.000188,0.192,0.000188,-1.04
0.000189,0.184,0.000189,-1.0
0.000189,0.184,0.000189,-1.04
0.000189,0.192,0.000189,-1.0
0.000189,0.192,0.000189,-1.08
0.000189,0.184,0.000189,-1.08
0.000189,0.176,0.000189,-1.12
0.000189,0.184,0.000189,-1.08
0.000189,0.176,0.000189,-1.0
0.000189,0.176,0.000189,-1.04
0.000189,0.176,0.000189,-1.04
0.000189,0.184,0.000189,-1.08
0.00019,0.176,0.00019,-1.08
0.00019,0.168,0.00019,-1.0
0.00019,0.16,0.00019,-1.08
0.00019,0.176,0.00019,-1.04
0.00019,0.168,0.00019,-1.0
0.00019,0.152,0.00019,-1.08
0.00019,0.16,0.00019,-1.04
0.00019,0.16,0.00019,-1.04
0.00019,0.16,0.00019,-1.12
0.00019,0.152,0.00019,-1.08
0.000191,0.144,0.000191,-1.04
0.000191,0.144,0.000191,-1.08
0.000191,0.144,0.000191,-1.04
0.000191,0.152,0.000191,-1.04
0.000191,0.144,0.000191,-1.08
0.000191,0.136,0.000191,-1.04
0.000191,0.144,0.000191,-1.04
0.000191,0.136,0.000191,-1.08
0.000191,0.144,0.000191,-1.08
0.000191,0.136,0.000191,-1.04
0.000192,0.136,0.000192,-1.0
0.000192,0.128,0.000192,-1.08
0.000192,0.128,0.000192,-1.04
0.000192,0.128,0.000192,-1.08
0.000192,0.12,0.000192,-1.04
0.000192,0.128,0.000192,-1.08
0.000192,0.112,0.000192,-1.0
0.000192,0.112,0.000192,-1.0
0.000192,0.12,0.000192,-1.04
0.000192,0.112,0.000192,-1.08
0.000193,0.112,0.000193,-1.08
0.000193,0.112,0.000193,-1.04
0.000193,0.112,0.000193,-1.12
0.000193,0.104,0.000193,-1.04
0.000193,0.112,0.000193,-1.08
0.000193,0.104,0.000193,-1.04
0.000193,0.096,0.000193,-1.04
0.000193,0.096,0.000193,-1.08
0.000193,0.096,0.000193,-1.0
0.000193,0.104,0.000193,-1.0
0.000194,0.096,0.000194,-1.04
0.000194,0.088,0.000194,-1.08
0.000194,0.096,0.000194,-1.08
0.000194,0.088,0.000194,-1.08
0.000194,0.096,0.000194,-1.04
0.000194,0.088,0.000194,-1.0
0.000194,0.096,0.000194,-1.0
0.000194,0.072,0.000194,-1.04
0.000194,0.088,0.000194,-1.08
0.000194,0.08,0.000194,-1.08
0.000195,0.08,0.000195,-1.08
0.000195,0.08,0.000195,-1.0
0.000195,0.064,0.000195,-1.04
0.000195,0.072,0.000195,-1.0
0.000195,0.064,0.000195,-1.04
0.000195,0.072,0.000195,-1.08
0.000195,0.064,0.000195,-1.04
0.000195,0.064,0.000195,-1.04
0.000195,0.064,0.000195,-1.08
0.000195,0.064,0.000195,-1.04
0.000196,0.064,0.000196,-1.08
0.000196,0.064,0.000196,-1.04
0.000196,0.048,0.000196,-1.08
0.000196,0.056,0.000196,-1.04
0.000196,0.048,0.000196,-1.08
0.000196,0.048,0.000196,-1.08
0.000196,0.048,0.000196,-1.08
0.000196,0.056,0.000196,-1.04
0.000196,0.04,0.000196,-1.0
0.000196,0.056,0.000196,-1.04
0.000197,0.04,0.000197,-1.08
0.000197,0.04,0.000197,-1.04
0.000197,0.048,0.000197,-1.04
0.000197,0.048,0.000197,-1.12
0.000197,0.04,0.000197,-1.08
0.000197,0.032,0.000197,-1.04
0.000197,0.032,0.000197,-1.08
0.000197,0.024,0.000197,-1.0
0.000197,0.024,0.000197,-1.04
0.000198,0.032,0.000198,-1.04
0.000198,0.024,0.000198,-1.08
0.000198,0.024,0.000198,-1.08
0.000198,0.024,0.000198,-1.08
0.000198,0.016,0.000198,-1.08
0.000198,0.016,0.000198,-1.08
0.000198,0.016,0.000198,-1.04
0.000198,0.016,0.000198,-1.04
0.000198,0.008,0.000198,-1.04
0.000198,0.008,0.000198,-1.08
0.000199,0.008,0.000199,-1.04
0.000199,0.008,0.000199,-1.08
0.000199,0.008,0.000199,-1.04
0.000199,0.008,0.000199,-1.08
0.000199,0.0,0.000199,-1.12
0.000199,0.0,0.000199,-1.04
0.000199,0.008,0.000199,-1.04
0.000199,0.0,0.000199,-1.08
0.000199,0.0,0.000199,-1.08
0.000199,0.0,0.000199,-1.08
0.000199,-0.008,0.000199,-1.12
0.0002,-0.008,0.0002,-0.96
0.0002,-0.016,0.0002,-1.08
0.0002,-0.008,0.0002,-1.08
0.0002,-0.008,0.0002,-1.04
0.0002,-0.016,0.0002,-1.08
0.0002,-0.016,0.0002,-1.04
0.0002,-0.008,0.0002,-1.04
0.0002,-0.024,0.0002,-1.08
0.0002,-0.016,0.0002,-1.04
0.0002,-0.016,0.0002,-1.08
0.000201,-0.024,0.000201,-1.04
0.000201,-0.016,0.000201,-1.04
0.000201,-0.024,0.000201,-1.08
0.000201,-0.024,0.000201,-1.04
0.000201,-0.024,0.000201,-1.12
0.000201,-0.024,0.000201,-1.12
0.000201,-0.032,0.000201,-1.08
0.000201,-0.04,0.000201,-1.08
0.000201,-0.032,0.000201,-1.04
0.000201,-0.032,0.000201,-1.0
0.000202,-0.032,0.000202,-1.08
0.000202,-0.032,0.000202,-1.08
0.000202,-0.04,0.000202,-1.04
0.000202,-0.04,0.000202,-1.08
0.000202,-0.048,0.000202,-1.08
0.000202,-0.048,0.000202,-1.04
0.000202,-0.048,0.000202,-1.08
0.000202,-0.048,0.000202,-1.04
0.000202,-0.048,0.000202,-1.08
0.000202,-0.056,0.000202,-1.08
0.000203,-0.048,0.000203,-1.04
0.000203,-0.056,0.000203,-1.04
0.000203,-0.056,0.000203,-1.0
0.000203,-0.056,0.000203,-1.08
0.000203,-0.064,0.000203,-1.04
0.000203,-0.056,0.000203,-1.04
0.000203,-0.056,0.000203,-1.04
0.000203,-0.064,0.000203,-1.04
0.000203,-0.056,0.000203,-1.04
0.000203,-0.064,0.000203,-1.04
0.000204,-0.064,0.000204,-1.08
0.000204,-0.064,0.000204,-1.08
0.000204,-0.072,0.000204,-1.12
0.000204,-0.072,0.000204,-1.08
0.000204,-0.08,0.000204,-1.08
0.000204,-0.072,0.000204,-1.08
0.000204,-0.08,0.000204,-1.04
0.000204,-0.072,0.000204,-1.12
0.000204,-0.08,0.000204,-1.08
0.000204,-0.072,0.000204,-1.12
0.000205,-0.08,0.000205,-1.08
0.000205,-0.088,0.000205,-1.08
0.000205,-0.08,0.000205,-1.08
0.000205,-0.088,0.000205,-1.0
0.000205,-0.088,0.000205,-1.04
0.000205,-0.088,0.000205,-1.04
0.000205,-0.088,0.000205,-1.08
0.000205,-0.096,0.000205,-1.08
0.000205,-0.096,0.000205,-1.04
0.000205,-0.096,0.000205,-1.04
0.000206,-0.096,0.000206,-1.04
0.000206,-0.104,0.000206,-1.04
0.000206,-0.104,0.000206,-1.04
0.000206,-0.096,0.000206,-1.04
0.000206,-0.096,0.000206,-1.0
0.000206,-0.104,0.000206,-1.12
0.000206,-0.104,0.000206,-1.04
0.000206,-0.104,0.000206,-1.04
0.000206,-0.12,0.000206,-1.04
0.000206,-0.104,0.000206,-1.08
0.000207,-0.112,0.000207,-1.08
0.000207,-0.112,0.000207,-1.08
0.000207,-0.112,0.000207,-1.08
0.000207,-0.112,0.000207,-1.04
0.000207,-0.112,0.000207,-1.04
0.000207,-0.112,0.000207,-1.04
0.000207,-0.12,0.000207,-1.04
0.000207,-0.12,0.000207,-1.0
0.000207,-0.12,0.000207,-1.04
0.000208,-0.12,0.000208,-1.08
0.000208,-0.12,0.000208,-1.04
0.000208,-0.128,0.000208,-1.12
0.000208,-0.128,0.000208,-1.08
0.000208,-0.128,0.000208,-1.04
0.000208,-0.136,0.000208,-1.04
0.000208,-0.136,0.000208,-1.08
0.000208,-0.12,0.000208,-1.08
0.000208,-0.136,0.000208,-1.04
0.000208,-0.128,0.000208,-1.12
0.000208,-0.128,0.000208,-1.08
0.000209,-0.144,0.000209,-1.04
0.000209,-0.136,0.000209,-1.04
0.000209,-0.144,0.000209,-1.12
0.000209,-0.136,0.000209,-1.12
0.000209,-0.144,0.000209,-1.08
0.000209,-0.144,0.000209,-1.04
0.000209,-0.152,0.000209,-1.08
0.000209,-0.144,0.000209,-1.04
0.000209,-0.144,0.000209,-1.04
0.000209,-0.152,0.000209,-1.04
0.00021,-0.144,0.00021,-1.12
0.00021,-0.144,0.00021,-1.08
0.00021,-0.152,0.00021,-1.0
0.00021,-0.152,0.00021,-1.08
0.00021,-0.152,0.00021,-1.04
0.00021,-0.16,0.00021,-1.08
0.00021,-0.168,0.00021,-1.08
0.00021,-0.152,0.00021,-1.08
0.00021,-0.16,0.00021,-1.04
0.00021,-0.168,0.00021,-1.08
0.000211,-0.16,0.000211,-1.0
0.000211,-0.168,0.000211,-1.04
0.000211,-0.168,0.000211,-1.04
0.000211,-0.16,0.000211,-1.08
0.000211,-0.168,0.000211,-1.04
0.000211,-0.176,0.000211,-1.04
0.000211,-0.176,0.000211,-1.08
0.000211,-0.168,0.000211,-1.08
0.000211,-0.176,0.000211,-1.04
0.000211,-0.176,0.000211,-1.08
0.000212,-0.176,0.000212,-1.04
0.000212,-0.176,0.000212,-1.04
0.000212,-0.176,0.000212,-1.04
0.000212,-0.176,0.000212,-1.08
0.000212,-0.176,0.000212,-1.04
0.000212,-0.184,0.000212,1.0
0.000212,-0.192,0.000212,1.0
0.000212,-0.176,0.000212,1.0
0.000212,-0.168,0.000212,1.0
0.000212,-0.168,0.000212,0.96
0.000213,-0.176,0.000213,0.92
0.000213,-0.168,0.000213,0.96
0.000213,-0.16,0.000213,0.96
0.000213,-0.16,0.000213,0.92
0.000213,-0.16,0.000213,0.96
0.000213,-0.16,0.000213,0.96
0.000213,-0.16,0.000213,0.92
0.000213,-0.152,0.000213,0.96
0.000213,-0.152,0.000213,0.96
0.000213,-0.144,0.000213,0.92
0.000214,-0.144,0.000214,0.96
0.000214,-0.144,0.000214,1.0
0.000214,-0.136,0.000214,1.0
0.000214,-0.136,0.000214,0.96
0.000214,-0.136,0.000214,0.96
0.000214,-0.144,0.000214,0.96
0.000214,-0.128,0.000214,0.96
0.000214,-0.128,0.000214,0.92
0.000214,-0.128,0.000214,0.96
0.000214,-0.128,0.000214,0.96
0.000215,-0.128,0.000215,1.0
0.000215,-0.128,0.000215,0.92
0.000215,-0.128,0.000215,1.0
0.000215,-0.12,0.000215,0.96
0.000215,-0.112,0.000215,1.0
0.000215,-0.12,0.000215,0.96
0.000215,-0.112,0.000215,0.96
0.000215,-0.112,0.000215,0.96
0.000215,-0.112,0.000215,0.96
0.000215,-0.112,0.000215,0.92
0.000216,-0.112,0.000216,0.96
0.000216,-0.104,0.000216,0.96
0.000216,-0.104,0.000216,0.96
0.000216,-0.104,0.000216,0.96
0.000216,-0.104,0.000216,0.96
0.000216,-0.104,0.000216,0.96
0.000216,-0.096,0.000216,1.0
0.000216,-0.096,0.000216,0.96
0.000216,-0.096,0.000216,0.96
0.000216,-0.096,0.000216,0.96
0.000217,-0.088,0.000217,1.04
0.000217,-0.088,0.000217,1.0
0.000217,-0.088,0.000217,0.96
0.000217,-0.08,0.000217,1.0
0.000217,-0.08,0.000217,1.0
0.000217,-0.088,0.000217,0.96
0.000217,-0.088,0.000217,0.96
0.000217,-0.072,0.000217,0.96
0.000217,-0.088,0.000217,1.0
0.000218,-0.064,0.000218,0.96
0.000218,-0.072,0.000218,0.96
0.000218,-0.072,0.000218,0.96
0.000218,-0.072,0.000218,0.96
0.000218,-0.064,0.000218,1.0
0.000218,-0.064,0.000218,1.0
0.000218,-0.064,0.000218,0.96
0.000218,-0.056,0.000218,0.96
0.000218,-0.064,0.000218,0.96
0.000218,-0.056,0.000218,0.96
0.000218,-0.048,0.000218,1.0
0.000219,-0.048,0.000219,0.92
0.000219,-0.056,0.000219,0.96
0.000219,-0.048,0.000219,0.96
0.000219,-0.048,0.000219,0.96
0.000219,-0.048,0.000219,0.92
0.000219,-0.056,0.000219,0.96
0.000219,-0.048,0.000219,0.96
0.000219,-0.032,0.000219,0.96
0.000219,-0.04,0.000219,1.0
0.000219,-0.032,0.000219,0.96
0.00022,-0.04,0.00022,0.96
0.00022,-0.032,0.00022,0.96
0.00022,-0.032,0.00022,0.96
0.00022,-0.032,0.00022,1.0
0.00022,-0.024,0.00022,0.92
0.00022,-0.04,0.00022,0.96
0.00022,-0.024,0.00022,0.96
0.00022,-0.024,0.00022,0.96
0.00022,-0.016,0.00022,0.92
0.00022,-0.024,0.00022,0.96
0.000221,-0.024,0.000221,0.96
0.000221,-0.008,0.000221,0.96
0.000221,-0.016,0.000221,0.92
0.000221,-0.016,0.000221,0.96
0.000221,-0.016,0.000221,0.96
0.000221,-0.008,0.000221,0.96
0.000221,0.0,0.000221,0.96
0.000221,-0.008,0.000221,1.0
0.000221,-0.008,0.000221,0.96
0.000221,0.0,0.000221,0.96
0.000222,0.0,0.000222,0.96
0.000222,0.0,0.000222,0.96
0.000222,0.0,0.000222,0.96
0.000222,0.0,0.000222,1.0
0.000222,0.0,0.000222,0.96
0.000222,0.0,0.000222,0.96
0.000222,0.008,0.000222,0.92
0.000222,0.008,0.000222,0.96
0.000222,0.008,0.000222,0.96
0.000222,0.024,0.000222,1.0
0.000223,0.016,0.000223,0.96
0.000223,0.016,0.000223,0.92
0.000223,0.016,0.000223,0.96
0.000223,0.016,0.000223,1.0
0.000223,0.016,0.000223,1.0
0.000223,0.024,0.000223,0.96
0.000223,0.024,0.000223,0.96
0.000223,0.032,0.000223,0.96
0.000223,0.04,0.000223,0.96
0.000223,0.032,0.000223,1.0
0.000224,0.024,0.000224,1.0
0.000224,0.032,0.000224,0.96
0.000224,0.032,0.000224,0.96
0.000224,0.04,0.000224,1.0
0.000224,0.032,0.000224,0.96
0.000224,0.032,0.000224,0.96
0.000224,0.04,0.000224,0.96
0.000224,0.032,0.000224,0.96
0.000224,0.04,0.000224,1.0
0.000224,0.04,0.000224,0.96
0.000225,0.048,0.000225,1.0
0.000225,0.04,0.000225,0.96
0.000225,0.048,0.000225,0.96
0.000225,0.056,0.000225,0.96
0.000225,0.064,0.000225,0.96
0.000225,0.056,0.000225,0.96
0.000225,0.048,0.000225,0.96
0.000225,0.056,0.000225,0.96
0.000225,0.056,0.000225,0.96
0.000225,0.056,0.000225,0.96
0.000226,0.056,0.000226,0.96
0.000226,0.056,0.000226,1.0
0.000226,0.072,0.000226,1.0
0.000226,0.08,0.000226,0.92
0.000226,0.064,0.000226,1.0
0.000226,0.064,0.000226,1.0
0.000226,0.072,0.000226,0.96
0.000226,0.072,0.000226,0.96
0.000226,0.072,0.000226,0.96
0.000227,0.08,0.000227,0.96
0.000227,0.08,0.000227,0.92
0.000227,0.088,0.000227,0.96
0.000227,0.08,0.000227,0.96
0.000227,0.08,0.000227,0.96
0.000227,0.088,0.000227,0.96
0.000227,0.08,0.000227,1.0
0.000227,0.088,0.000227,0.92
0.000227,0.088,0.000227,1.0
0.000227,0.096,0.000227,0.92
0.000228,0.088,0.000228,1.0
0.000228,0.096,0.000228,0.96
0.000228,0.104,0.000228,0.96
0.000228,0.104,0.000228,0.96
0.000228,0.096,0.000228,0.96
0.000228,0.104,0.000228,0.92
0.000228,0.104,0.000228,0.96
0.000228,0.104,0.000228,0.96
0.000228,0.104,0.000228,0.96
0.000228,0.112,0.000228,0.96
0.000228,0.104,0.000228,0.96
0.000229,0.104,0.000229,1.0
0.000229,0.112,0.000229,0.96
0.000229,0.112,0.000229,1.0
0.000229,0.112,0.000229,0.96
0.000229,0.112,0.000229,1.0
0.000229,0.12,0.000229,0.96
0.000229,0.112,0.000229,0.96
0.000229,0.112,0.000229,0.96
0.000229,0.112,0.000229,0.96
0.000229,0.128,0.000229,1.0
0.00023,0.128,0.00023,0.96
0.00023,0.12,0.00023,0.96
0.00023,0.128,0.00023,0.96
0.00023,0.128,0.00023,1.0
0.00023,0.128,0.00023,0.96
0.00023,0.128,0.00023,1.0
0.00023,0.128,0.00023,1.0
0.00023,0.128,0.00023,0.96
0.00023,0.136,0.00023,0.96
0.00023,0.128,0.00023,0.92
0.000231,0.144,0.000231,0.96
0.000231,0.136,0.000231,0.96
0.000231,0.144,0.000231,0.96
0.000231,0.144,0.000231,0.96
0.000231,0.144,0.000231,0.96
0.000231,0.144,0.000231,0.96
0.000231,0.144,0.000231,0.96
0.000231,0.136,0.000231,1.0
0.000231,0.16,0.000231,1.0
0.000231,0.152,0.000231,0.96
0.000232,0.152,0.000232,1.0
0.000232,0.16,0.000232,0.96
0.000232,0.152,0.000232,0.96
0.000232,0.144,0.000232,0.96
0.000232,0.16,0.000232,0.96
0.000232,0.152,0.000232,0.92
0.000232,0.16,0.000232,1.0
0.000232,0.16,0.000232,1.0
0.000232,0.168,0.000232,0.96
0.000232,0.16,0.000232,1.0
0.000233,0.168,0.000233,0.96
0.000233,0.16,0.000233,0.96
0.000233,0.168,0.000233,0.96
0.000233,0.16,0.000233,0.96
0.000233,0.176,0.000233,1.0
0.000233,0.176,0.000233,1.0
0.000233,0.184,0.000233,0.92
0.000233,0.184,0.000233,1.0
0.000233,0.184,0.000233,1.0
0.000233,0.176,0.000233,1.0
0.000234,0.176,0.000234,0.96
0.000234,0.176,0.000234,1.0
0.000234,0.192,0.000234,1.0
0.000234,0.176,0.000234,0.96
0.000234,0.184,0.000234,0.96
0.000234,0.192,0.000234,1.0
0.000234,0.192,0.000234,0.92
0.000234,0.192,0.000234,0.96
0.000234,0.176,0.000234,0.96
0.000234,0.184,0.000234,0.96
0.000235,0.184,0.000235,0.96
0.000235,0.2,0.000235,0.92
0.000235,0.2,0.000235,0.96
0.000235,0.208,0.000235,0.96
0.000235,0.208,0.000235,0.96
0.000235,0.2,0.000235,0.96
0.000235,0.2,0.000235,1.0
0.000235,0.2,0.000235,0.96
0.000235,0.192,0.000235,0.96
0.000235,0.2,0.000235,0.96
0.000236,0.208,0.000236,0.96
0.000236,0.208,0.000236,1.0
0.000236,0.208,0.000236,0.96
0.000236,0.208,0.000236,1.0
0.000236,0.208,0.000236,1.0
0.000236,0.216,0.000236,1.0
0.000236,0.216,0.000236,0.96
0.000236,0.216,0.000236,0.96
0.000236,0.216,0.000236,0.96
0.000237,0.216,0.000237,0.96
0.000237,0.224,0.000237,0.96
0.000237,0.224,0.000237,0.96
0.000237,0.224,0.000237,0.96
0.000237,0.216,0.000237,1.0
0.000237,0.216,0.000237,1.0
0.000237,0.232,0.000237,-1.08
0.000237,0.24,0.000237,-1.04
